location,Rheumatoid arthritis_val_DALYs (Disability-Adjusted Life Years),Osteoarthritis_val_DALYs (Disability-Adjusted Life Years),Low back pain_val_DALYs (Disability-Adjusted Life Years),Neck pain_val_DALYs (Disability-Adjusted Life Years),Low back pain_val_Prevalence,Osteoarthritis_val_Prevalence,Rheumatoid arthritis_val_Prevalence,Neck pain_val_Prevalence,Rheumatoid arthritis_val_Incidence,Low back pain_val_Incidence,Osteoarthritis_val_Incidence,Neck pain_val_Incidence,Rheumatoid arthritis_val_Deaths,Migraine_val_DALYs (Disability-Adjusted Life Years),Migraine_val_Incidence,co2_emissions,waste
Afghanistan,0.0001793590737922,0.0010507324760112,0.011196196159021,0.0040579036556435,,,,,6.9203919424e-06,0.0059485704119643,0.0004440630702254,0.0011636620352122,0.0001258094113024,0.0093580513328018,0.0032976848390198,0.0,623578.6843413818
Albania,0.000972889051287,0.0092914101902337,0.0538316491575409,0.0080708861699129,0.1730714413607484,0.0960634790965717,0.0022395741045511,0.0293589710535165,2.53357982312e-05,0.0163415935546447,0.001643712210495,0.0014310812454763,,,,0.0,1221424.5255065265
Algeria,0.0004334045733891,0.0067437524066695,0.031785268206836,0.0128190616196817,,,,,1.03087977082e-05,0.0087575405839987,0.0012124601030395,0.0017714197219328,9.705289089539346e-05,0.0212953654026952,0.00319747442212,82039.2669391968,13565142.051794602
Andorra,0.0012700594698567,0.0162097313682789,0.0525371449616319,0.0149703594455778,0.1336424139898164,0.1305703776210787,0.0026291987810812,0.043197725285981,2.66895361532e-05,0.0126042006295705,0.0022004588976276,0.0013731654666871,,,,0.0,64952.88926184731
Armenia,0.0006424705203846,0.010110350635315,0.0400557763639072,0.0079186718937695,,,,,1.589463986e-05,0.0127175979317629,0.0016577629470572,0.0013884385759438,0.0001505887508597,0.0158238657560039,0.0025726124769654,0.0,280181.02918271447
Austria,0.0020995893458863,0.0151308244275917,0.0413251810134319,0.0160247831325299,0.1188472488321338,0.1360574640124424,0.0044182935294182,0.0519871104579187,4.97055931366e-05,0.0116594496872019,0.0020884472386513,0.0015546055758863,,,,1329102.3303171375,1426972.7771007
Azerbaijan,0.0003830816599219,0.0074159667533151,0.0321713256354114,0.0074141586675045,,,,,1.2688134395e-05,0.0115965554337454,0.0016079782824772,0.0014518792164108,1.0297194030841729e-05,0.015807996248948,0.0030291303891416,459857.40448103304,1790329.6565123603
Bahrain,0.0013105528197632,0.0075013875789931,0.0380994387271215,0.0146493302768338,,,,,2.95380894828e-05,0.0086602830425398,0.001322736686215,0.0017290398702374,0.0002524857973487,0.0260740055303462,0.0029126183701639,0.0,564021.6581290909
Belarus,0.000494369158007,0.0090701839921156,0.0326164236311322,0.0056965305755426,,,,,1.71816570143e-05,0.0136742265475724,0.0019682165477598,0.001334245612229,2.0288496469128496e-05,0.0115264638847532,0.0020602681083814,2865768.366985641,4293954.70922059
Belgium,0.0020583125316697,0.0148079165870964,0.046561549792289,0.0124737447627706,0.1366690656866022,0.1358826824958676,0.0043006099475037,0.041335882570834,4.90808086429e-05,0.0124275671421544,0.0019692394027485,0.0012964728710316,,,,2328068.0096597276,663155.59509245
Bosnia and Herzegovina,0.0013910780109946,0.0098458594003147,0.0451257495246152,0.0070469484527591,0.1757893736962419,0.1219521849679661,0.003970564677197,0.0309827928338174,4.08084674781e-05,0.0172199395728645,0.0020317668612655,0.0015193614407305,,,,83624.09988600422,5763385.139020028
Bulgaria,0.0004383968339724,0.0076699559620526,0.031299516657921,0.0047509570577892,0.1843911960565709,0.1415711204604232,0.0019388798678307,0.0316557240529257,1.8607953216e-05,0.0176561655845398,0.0021929192180971,0.0015230805614693,,,,1902740.5590533568,3262331.221955919
Croatia,0.0017349221277597,0.0116323869257815,0.0470932816248747,0.007364955231925,0.1785723049296771,0.138733855531197,0.0046825902905789,0.0315293752916416,4.98589498019e-05,0.0181351596806168,0.0022439618321356,0.001595634127287,,,,1008935.623291293,967839.7043307207
Cyprus,0.0035072593516281,0.0144803435831869,0.0540977568215724,0.0150138049343186,0.1260018830124576,0.1069218409758531,0.0056916491389975,0.039626064203813,7.80909534644e-05,0.0117780209876638,0.0017752355537352,0.0012975540061906,,,,0.0,1017150.61861812
Czechia,0.001072228838918,0.0121490286475405,0.0534086547014111,0.0076263727641654,0.1937194667733622,0.1383953307327429,0.0028440596966835,0.0311993094898722,2.79882318374e-05,0.0185876515748453,0.0022390625645416,0.0015596167310366,,,,489023.2612204911,3597569.223898958
Denmark,0.0032920793846526,0.0150304050959969,0.0569539846543317,0.0153124729079386,0.1630528358064291,0.1344235445735708,0.006548565619978,0.0496547632927179,8.79061105251e-05,0.0123226168648102,0.0019884422045227,0.0014995655977275,,,,0.0,1956630.963115722
Egypt,0.0004579765536407,0.0045736466461647,0.0268926262522176,0.0100910266510328,,,,,1.228811755e-05,0.0074632828137599,0.0008898955344361,0.0014540982851077,5.368196357568021e-05,0.0198447625619209,0.0032608839616613,11454730.823552014,7636027.198198629
Estonia,0.0024879308811907,0.0132043298259427,0.0427183386184669,0.0072370126297694,,,,,4.9292974475e-05,0.0149909818614106,0.00216993282079,0.0014326853677902,0.0009426179904169,0.0140874984857338,0.0021051056280672,0.0,191646.82924267583
Finland,0.0043226233357846,0.0157003676218682,0.0414138175840446,0.010188264725313,0.1256213296319796,0.14820032747585,0.0085781709529983,0.0349399671448876,0.0001060063946925,0.0128155602746898,0.0022169555457547,0.00126709263869,,,,0.0,3057471.9369145688
France,0.0018587552239109,0.0153665985421989,0.0473262218364804,0.0095489733880583,0.136621211384401,0.1381236216034962,0.0037634104613866,0.0311162924028782,4.53786718097e-05,0.0120380838363067,0.0018893944790309,0.0010484423579841,,,,5398601.341807333,12303566.931893682
Georgia,0.0003884581516049,0.0079189060985038,0.0264115740710108,0.0058416157622594,,,,,1.36709431452e-05,0.0124606011288823,0.0017993491289947,0.001456196468866,4.982135344576439e-05,0.0111823120267585,0.0025530809198747,0.0,1231233.0676126308
Germany,0.0017478995791096,0.0147039258236813,0.0505050851459505,0.0114060935232098,0.1657705428190406,0.1503649645102454,0.0040177651415038,0.0423632032921377,4.46319095799e-05,0.0148390553953731,0.0022133850549295,0.0013705509689884,,,,9962766.681698142,7012415.271071858
Greece,0.0014201357264545,0.0133185956128744,0.0387676111428825,0.0129851873392315,0.1367770420499632,0.1468925407445246,0.0036456843930008,0.0517823497510596,3.71837867399e-05,0.0134271293165116,0.0022194381811106,0.0016026404126196,,,,339372.95734285,3893356.039049746
Hungary,0.0013060318857931,0.0104294352977,0.0477733001391554,0.0064933877985079,0.2062458179659137,0.1410962952235404,0.0037845439705963,0.0316274408601044,4.04453964491e-05,0.0192386517433537,0.0022746803090429,0.0015712875056807,,,,982731.5751942241,1900823.0638728535
Iceland,0.0023796437344044,0.0170873603401964,0.056188536770042,0.0149643305235843,0.127314339435617,0.1208662362989694,0.0039688395130012,0.038350462200619,4.82949154138e-05,0.0122861940677977,0.0019295308269231,0.0013102230646802,,,,0.0,234615.0062196099
Iran (Islamic Republic of),0.0004914300740491,0.0069659867898144,0.0368442812254564,0.0163729782574322,,,,,1.0591952706e-05,0.0093374787207195,0.0012142991481634,0.0023943406472253,7.03546238393257e-05,0.023529672731196,0.0030521099140662,,
Iraq,0.0004244687505041,0.0045196275572593,0.0269512049582699,0.0104504179912992,,,,,1.14168436957e-05,0.0070308851168644,0.0008249905485006,0.0014086442270301,2.785022880539877e-05,0.0201169771111497,0.0030272019307036,0.0,8982528.143851541
Ireland,0.004834182882744,0.0152763459218682,0.0545462192326728,0.0144405178015179,0.1294250467704223,0.1139955533319616,0.0082760480579212,0.0388186190653364,0.0001097501439904,0.0117787853406538,0.0018098159129478,0.001252647308443,,,,0.0,530955.8196177497
Israel,0.0017131235910172,0.0148036639523248,0.0571764459062685,0.0152853190885215,0.1121624102180227,0.091495932375762,0.0025335330508206,0.0338150894407501,2.92260803747e-05,0.0098166743082516,0.0013712888889,0.0010855308393925,,,,323582.3042557906,4963545.226783525
Italy,0.0021891084702437,0.0166096713788318,0.0483224742798706,0.0135033082122644,0.1484968042855705,0.1584564749618758,0.0045431449112246,0.0469204295163262,5.7922729048e-05,0.0147947800892439,0.0024808335284577,0.0019743167279971,,,,1933832.8741971462,9237696.0958828
Jordan,0.0006455065632835,0.0071240253294341,0.038689487365004,0.0145722724489956,,,,,1.39378300755e-05,0.0083135548345021,0.0010709029981698,0.0016282354234533,6.284128394254351e-05,0.0276643892049622,0.0033501733795011,0.0,3482004.357505105
Kazakhstan,0.0004999196951776,0.007232652466446,0.0288355826280214,0.0064220932422994,,,,,1.33392519948e-05,0.0102351654470873,0.0014588337150054,0.0012567226629786,0.000164976409833,0.01388164606241,0.0027701634941199,0.0,12567281.377636977
Kuwait,0.0021847752491441,0.0098742987833145,0.0523066202647722,0.0204780715325215,,,,,3.1168499264e-05,0.0094675665930591,0.001471896806124,0.0019577689007426,0.0003246459889987,0.0353053660956047,0.0031588403865453,0.0,8112888.400125756
Kyrgyzstan,0.0015486517615602,0.0063921407533704,0.0321128247259819,0.007722720668526,,,,,4.58254507342e-05,0.0100371927657214,0.0012064345563432,0.0013421007924999,0.0004675886793991,0.0177441670476251,0.0033491867788499,0.0,1050395.0279288872
Latvia,0.0015986920019425,0.010785637105139,0.0343802856228044,0.0058855940952727,,,,,3.3927875229e-05,0.014519914491762,0.0021302241483502,0.0013851440391123,0.0006359747778845,0.0113764146114356,0.0019837016031713,0.0,1320592.285642577
Lebanon,0.0007766747412087,0.0075465286193455,0.0311935584859843,0.0125754535898018,,,,,1.72536491044e-05,0.0086526480752871,0.001215246264314,0.0017263152929135,6.026296842221656e-05,0.0197462358600307,0.0027756224082842,0.0,2795575.045815997
Libya,0.0005234980018552,0.0057919415080448,0.0290698864366755,0.0118977817903717,,,,,1.17290812239e-05,0.0082857700850755,0.0011867510093276,0.001721076177433,0.0001496574011864,0.0199564219408952,0.0028878597100892,0.0,1954266.1312476515
Lithuania,0.002104117730344,0.0111035602267342,0.0362179889277471,0.0061580729789674,,,,,3.8202052601e-05,0.0142727469167928,0.0020604876425092,0.0013511423204012,0.0009448262970159,0.011002885080986,0.0018703704965934,2456504.257964211,306808.9901424407
Luxembourg,0.0019800333844615,0.0155331905356932,0.0542278248791253,0.0148455368281336,0.1301749911471854,0.1174480387170689,0.0035638389423233,0.0403483550940165,4.35991556988e-05,0.0124448435961584,0.0019719260676178,0.0013455015748679,,,,0.0,34396.069870824744
Malta,0.0019225718108728,0.0168272923082756,0.0539869420563009,0.0132466541054629,0.15069093503701,0.1462524029342352,0.0038011093829407,0.0419141039470752,4.30400717395e-05,0.0142670279298929,0.002201746197519,0.0013983838520889,,,,0.0,78287.92074
Monaco,0.0008804946841262,0.0143644629662742,0.0378873732077433,0.0101031249514641,0.1461828204260552,0.1713533182721762,0.0027926398782456,0.0441630880971725,2.61990914503e-05,0.0138202318026705,0.0024532629716091,0.0013935041476907,,,,0.0,0.0
Mongolia,0.0007189001596702,0.0060215557323874,0.0282180060363794,0.0069354549796119,,,,,1.8917601391e-05,0.0091483751231827,0.0012400067957734,0.0012326547310957,0.0003090565314546,0.0156213946132241,0.0029610257449843,0.0,668691.6728875285
Montenegro,0.0007856172547265,0.008683039066767,0.0410538948844239,0.0063389161224402,0.1689432522793589,0.1131893077395767,0.0023233801599947,0.0294788343110185,2.50006119311e-05,0.0156087560519562,0.0018356057798808,0.0013895800934528,,,,0.0,1014644.4550500681
Morocco,0.0005006122175517,0.0061617143128193,0.0332519781135178,0.0116510301520056,,,,,1.01284238285e-05,0.0089887218536781,0.0011005695031564,0.001622224942529,0.0001698085742852,0.0189781802541933,0.0027988566870463,0.0,15405631.297251606
Netherlands,0.0034485211090788,0.0159067097804911,0.0424325350078857,0.0113350842807423,0.1213131760281267,0.1420690649478921,0.0067569099096107,0.0366555315377142,8.64215221443e-05,0.0112702360944811,0.002048118205337,0.0011783123255693,,,,6923510.2913952535,3432536.000340141
North Macedonia,0.0005341319764056,0.0077052979911913,0.0371754931207747,0.0063375851411004,0.1569627609032081,0.1042188093573404,0.001812892353243,0.0302479716742454,1.97350125852e-05,0.0153546568708501,0.0018286818703671,0.0014559063758471,,,,0.0,1447916.354045544
Norway,0.0035782736143968,0.0167848485322297,0.0500268116056894,0.0121129082775954,0.1237351582692321,0.1294198733714833,0.0063716353302728,0.0338772554521349,7.73115195501e-05,0.0111927626950549,0.0019056064467915,0.001388071873968,,,,1979896.7484152867,3368717.8126519104
Oman,0.0005218454228568,0.0054547341908042,0.036338543292737,0.0138152365236345,,,,,1.14926906497e-05,0.0078661803527179,0.0009862845730369,0.0016185041265757,4.552256679097266e-05,0.0269877870828684,0.0031215610297846,1189092.7733333337,1120965.8897063828
Palestine,0.0005238396595784,0.0052146321797104,0.03339870018549,0.0126621445547406,,,,,1.13337553225e-05,0.0067932866669973,0.0007291114496981,0.0013524950066833,7.361669890235612e-05,0.0258118817433615,0.0031934232913905,,
Poland,0.0015946015167856,0.0111220242717355,0.0481092001401024,0.0083107008745747,0.1823342684301084,0.1321079112679381,0.0039713172232695,0.0355634752638655,4.25395657353e-05,0.0186688080191141,0.0022489908143038,0.0019458966324747,,,,9337107.230136631,4364876.202574136
Portugal,0.0021056713353719,0.014971772730202,0.0486289207405545,0.0119530643650581,0.1562773148710803,0.1500272681598568,0.0046442643780889,0.0434417905049241,5.13524271064e-05,0.015121166643048,0.002333002225249,0.0014650437996439,,,,153967.80000000002,2538629.5673686326
Qatar,0.001020529174864,0.007450605003359,0.0541716594574947,0.0192958654975635,,,,,1.76114893667e-05,0.0087354411694339,0.0011903796379554,0.0017379765492012,5.800883579047854e-05,0.0375777137189233,0.0029242157266407,529609.7633333333,1265794.9306281535
Republic of Moldova,0.000715327937746,0.0089131322576667,0.0358247513765591,0.0065142885110989,,,,,1.72889083842e-05,0.0139793242126638,0.0018985089913661,0.0014097710063533,0.0002388401227985,0.0132801346606224,0.0021724571790533,,
Romania,0.0005284555939989,0.0086725979298533,0.0411572788263368,0.0060508917305239,0.1856907211392119,0.1236870926764724,0.0020013259253032,0.030877522606954,2.10949401843e-05,0.0182625383312365,0.0020968420303379,0.0015577398201786,,,,2728435.776809557,6645295.723571717
Russian Federation,0.0010367230638816,0.0088697652604727,0.0310881646864352,0.0062709228969477,,,,,2.15440436334e-05,0.0126582040281938,0.001864496613554,0.001519339992625,0.00044864276092,0.0125868758358452,0.0020824231448307,55399777.737098604,81255514.23643762
San Marino,0.0013044593053142,0.0192034714578668,0.055157504468638,0.0150867939927744,0.139514804111625,0.1512953776215092,0.0025266638719418,0.043227316813147,2.42829697801e-05,0.0130355862953899,0.0022429486881155,0.0013664410453402,,,,0.0,0.0
Saudi Arabia,0.000588261083708,0.0057771095234184,0.0348191020598373,0.013712058286099,,,,,1.35086350995e-05,0.0086633670270997,0.0012270735245397,0.0018207398969312,8.305516337102008e-05,0.0244598270691918,0.0030755040274848,4739566.376666667,13117748.454722775
Serbia,0.0009092163538967,0.0090729813759182,0.0435479005029495,0.0065027023845843,0.1813153664581411,0.1196376604879614,0.0026223261925441,0.0305778064491364,2.91814504502e-05,0.0176405455822863,0.0019902805482241,0.0015340446985178,,,,0.0,2005669.189753891
Slovakia,0.0007771421169028,0.0104649721443477,0.0466239356676881,0.0071504938717822,0.177735811730471,0.1257460293262648,0.0020823996563065,0.0308071943072767,2.27359120351e-05,0.0177545522532044,0.0021775625514413,0.0015720949730368,,,,1098423.9462414167,1769941.9967503818
Slovenia,0.0025313695276416,0.0145849035510258,0.0555733013479935,0.0089198298160549,0.1744027315904112,0.1436712289177471,0.005649041070802,0.0316025592907639,6.46074455161e-05,0.0181744435301221,0.0023738165592846,0.0016245540552578,,,,0.0,263467.54041675985
Spain,0.0020036859629277,0.0163824944648096,0.03974874387493,0.0110201905097165,0.112323768931494,0.1443371933482056,0.0041034431070903,0.0351496631022284,5.04263300371e-05,0.0120788234778418,0.0022626105888769,0.0012497857086764,,,,1866545.2702190077,12081699.895460254
Sudan,0.0002927956142895,0.0028505913874924,0.022127690920116,0.0081553857341314,,,,,7.7617945959e-06,0.0062234422859047,0.0005773253264096,0.0012304633596746,9.444987757475278e-05,0.0173230789788106,0.0030116646292476,0.0,4111620.5799771682
Sweden,0.0031157093907656,0.0147057172975928,0.0398008681128609,0.0145984219598918,0.1038491725433731,0.1204156870734759,0.0056828560385509,0.0429503673605585,7.06503516053e-05,0.0098405019186667,0.0017113542993836,0.0014106030024848,,,,0.0,862365.8254726072
Switzerland,0.0027588870727578,0.0166713114905408,0.0574726515611906,0.0145017409311828,0.1457589312001887,0.1329581472493328,0.0052039871310772,0.0416190415986282,6.6604500627e-05,0.0132347911605694,0.0020048907929263,0.0013322097189025,,,,74865.59202018088,712.3453234955865
Syrian Arab Republic,0.0005183127068599,0.0067765816204024,0.0303658786788114,0.0121380914307878,,,,,1.3588680837e-05,0.0096343490192745,0.0013889684152436,0.0018871518317216,0.000105073289342,0.0195378286491588,0.0032875235912714,0.0,1908957.5371621205
Tajikistan,0.0005381866737354,0.0039306030698809,0.0238751757153011,0.0062959557845728,,,,,1.92990829645e-05,0.0083537343980865,0.0008873921348043,0.001214789743292,8.192296870968023e-05,0.0149601819951501,0.0031778438002815,0.0,541160.0262755618
Tunisia,0.0005021934989581,0.0075591728565407,0.031346881752103,0.012489911961169,,,,,1.11417668265e-05,0.008939466673979,0.0013202116170574,0.0017443740548641,8.088544377571042e-05,0.0185817743625611,0.0026709695557372,0.0,2305630.1699962304
Turkey,0.0013580993252095,0.0086592658743896,0.0365859023778547,0.0139528893060215,,,,,2.56138370596e-05,0.008725893731367,0.0012650036130318,0.0016398524061984,0.0003745020638744,0.0209403726583085,0.0025046746741496,,
Turkmenistan,0.000343227337803,0.0054315703291101,0.0246377708507798,0.0060460414918883,,,,,1.19002667889e-05,0.0096819276769523,0.0012724510372177,0.0013090672854192,6.688129962686761e-05,0.0135417762329374,0.0030605754360942,30053.40750481843,817567.2288697379
Ukraine,0.0005242347629906,0.0089806631477662,0.0372713549460002,0.0065805120403599,,,,,1.15458387807e-05,0.0148290163434796,0.0019197284285601,0.0016116590151848,0.0001759239691891,0.0120338840687899,0.0020292751820616,7393689.362452972,19838957.879586857
United Arab Emirates,0.0009621443921412,0.009308055317448,0.0484178622286128,0.0198710413030548,,,,,1.59536648456e-05,0.0091592894987485,0.001707607673519,0.0019875695403982,0.0001890275723351,0.0327327407213486,0.0027482007572047,0.0,5286761.605337834
United Kingdom,0.0035337575960553,0.0147989103995654,0.0438510900047593,0.0135207158828155,0.1330949039704406,0.1388676133984188,0.0072630871733201,0.0463679766584996,8.90116253121e-05,0.0124826891253898,0.0021260934883848,0.0017669563507421,,,,2929554.5033397856,5653233.9404907925
Uzbekistan,0.0014736702162355,0.0067225408640416,0.0326499486600156,0.007822976134684,,,,,4.43311130531e-05,0.011004379506252,0.0014035273472818,0.0014496816952626,0.0002941614595688,0.0174754401836735,0.0033532510548318,288289.77671288786,4563241.022168658
Yemen,0.0001842383683111,0.002034791341186,0.0174613014963667,0.0064645273535694,,,,,5.9845134203e-06,0.0061301534586339,0.0005171894446538,0.0012153552120143,7.564242254803875e-05,0.0138266027502461,0.0030918705138801,0.0,2571881.8720139954
